@relation opinion
@attribute category {positive,negative,neutral,objective}

@attribute polarity real
@data
negative,-0.8
neutral,0.2
positive,0.1759259259259259
objective,0.8
negative,0.5
objective,0.13333333333333333
positive,-0.4583333333333333
objective,0.0
neutral,1.0
positive,0.0
objective,0.3666666666666667
positive,-0.26666666666666666
negative,-0.05
negative,-0.2916666666666667
neutral,0.0
positive,0.0
positive,0.0
positive,0.056249999999999994
positive,-0.2
negative,-0.5
negative,0.0
positive,0.13636363636363635
positive,0.4
neutral,0.0
positive,0.0
positive,0.35
neutral,0.0
positive,0.0
negative,0.15
positive,0.5
positive,0.3166666666666667
objective,0.26666666666666666
neutral,0.0
positive,0.5
negative,0.0
neutral,0.1
positive,0.2
positive,0.175
objective,-0.4
positive,0.13636363636363635
positive,0.30000000000000004
neutral,0.0
positive,0.4
neutral,-0.08333333333333333
positive,0.0
negative,-0.03333333333333333
objective,0.06666666666666667
positive,0.8
positive,0.4
positive,0.0
neutral,0.0
negative,-0.2380952380952381
negative,0.0
neutral,0.0
neutral,0.375
neutral,-0.125
neutral,0.09545454545454546
objective,0.0
positive,0.0
negative,-0.8000000000000002
positive,0.0
neutral,0.0
neutral,0.13636363636363635
negative,0.175
positive,-0.022222222222222237
objective,0.05
objective,0.0
positive,0.0
positive,0.4
neutral,0.0
neutral,0.6
positive,0.0
objective,0.2
positive,-0.022222222222222216
objective,-0.16606060606060608
objective,0.4
objective,0.0
neutral,0.175
positive,0.0
positive,0.0
negative,0.125
negative,0.0
positive,0.12666666666666668
positive,0.4666666666666666
neutral,0.012500000000000004
positive,0.0
positive,1.0
negative,0.2
neutral,0.26666666666666666
neutral,-0.3458333333333333
positive,-0.3
negative,-0.10185185185185186
neutral,0.375
negative,-0.6
positive,0.6000000000000001
positive,0.8
positive,0.0
neutral,-0.6999999999999998
negative,0.225
positive,0.35000000000000003
neutral,1.0
positive,0.30000000000000004
objective,0.0
objective,0.25
negative,-0.16666666666666666
positive,0.0
positive,0.58
neutral,0.0
neutral,0.0
neutral,0.0
objective,0.0
neutral,0.425
neutral,0.0
neutral,-0.1
negative,0.0
negative,0.0
negative,0.375
positive,0.30000000000000004
positive,-0.21666666666666667
positive,-0.2
negative,0.34545454545454546
negative,0.0
neutral,0.3
objective,0.0
objective,0.0
positive,0.44999999999999996
negative,-0.1
positive,0.1
negative,0.4
neutral,-0.4
neutral,0.0
positive,0.4444444444444444
objective,-0.4
positive,0.0
negative,0.0
negative,0.0500000000000001
positive,0.85
positive,0.5
positive,0.2
positive,0.2
positive,0.23484848484848483
positive,0.15
positive,0.0
objective,0.0
objective,0.0
negative,0.3888888888888889
negative,-0.4
neutral,0.0
positive,0.5
negative,0.016666666666666677
positive,0.5
positive,0.4444444444444445
neutral,0.0
negative,0.0
objective,0.0
objective,-0.033333333333333326
neutral,-0.3
positive,0.0
positive,0.13636363636363635
neutral,0.0
negative,0.3
positive,0.0
positive,0.0
objective,0.25
neutral,0.0
positive,0.23333333333333336
negative,0.0
objective,0.0
negative,-0.2222222222222222
positive,0.8
positive,0.6
neutral,0.0
neutral,0.24999999999999997
negative,0.125
positive,0.5833333333333334
positive,0.3181818181818182
positive,0.0
neutral,0.019999999999999997
negative,0.09999999999999999
objective,0.07878787878787878
positive,0.0
positive,0.5
neutral,0.25
objective,0.0
positive,0.6
positive,0.009615384615384609
positive,0.39999999999999997
objective,0.21666666666666667
positive,0.3
objective,0.5
negative,-0.28846153846153844
negative,0.011904761904761899
neutral,0.4
positive,0.3333333333333333
negative,-0.6999999999999998
neutral,-0.6
neutral,-0.1
positive,0.0
neutral,0.0
objective,0.0
positive,0.24999999999999997
positive,0.06250000000000003
negative,0.25
positive,0.5
objective,0.3
neutral,0.2
neutral,0.0
positive,0.25
positive,0.0
positive,0.13636363636363635
positive,-0.07765151515151517
positive,0.6
positive,0.6
objective,0.0
objective,0.0
positive,1.0
negative,0.8
neutral,0.2
neutral,0.0
neutral,0.51
neutral,0.0
negative,0.025
positive,0.13636363636363635
neutral,0.8
negative,-0.1027777777777778
positive,-0.05
positive,0.1
objective,-0.35714285714285715
negative,-0.7
objective,0.03333333333333333
neutral,-0.2
negative,0.8
positive,0.375
positive,0.4571428571428572
positive,0.04545454545454545
objective,0.0
neutral,-0.2
positive,0.0
objective,0.04545454545454545
positive,0.35000000000000003
positive,0.5
