@relation opinion
@attribute category {positive,negative,neutral,objective}
@attribute pnumber numeric
@attribute nnumber numeric
@attribute weight real
@attribute polarity real
@attribute question_mark {yes, no}
@data
negative,1,1,0.0,-0.8,no
neutral,1,1,0.703603506914847,0.2,no
positive,3,3,3.186807934689551,0.1759259259259259,no
objective,1,1,1.44519921674032,0.8,yes
negative,0,0,0.0,0.5,no
objective,1,1,1.05521412973117,0.13333333333333333,no
positive,0,0,-1.185775006055378,-0.4583333333333333,no
objective,0,0,0.409007141442534,0.0,no
neutral,0,0,0.0,1.0,no
positive,0,0,0.0,0.0,no
objective,3,3,1.0669019628365795,0.3666666666666667,no
positive,4,4,1.855049789871886,-0.26666666666666666,no
negative,0,0,1.18684242246842,-0.05,no
negative,0,0,1.05023749422614,-0.2916666666666667,yes
neutral,0,0,0.0,0.0,no
positive,0,0,0.0,0.0,no
positive,0,0,0.0,0.0,yes
positive,2,2,0.617555917504432,0.056249999999999994,no
positive,2,2,0.927524894935943,-0.2,no
negative,0,0,-0.257636510103677,-0.5,no
negative,1,1,0.0,0.0,no
positive,1,1,0.0,0.13636363636363635,no
positive,1,1,1.44519921674032,0.4,no
neutral,3,3,0.0,0.0,no
positive,0,0,0.0,0.0,no
positive,2,2,3.1986552694101653,0.35,no
neutral,1,1,0.6761065689266387,0.0,no
positive,1,1,0.0,0.0,no
negative,1,1,0.0,0.15,no
positive,0,0,0.0,0.5,yes
positive,5,5,2.55341358519701,0.3166666666666667,no
objective,4,4,3.2928270770047963,0.26666666666666666,no
neutral,0,0,0.0,0.0,no
positive,2,2,1.24422515804714,0.5,no
negative,0,0,0.0,0.0,no
neutral,0,0,0.0,0.1,no
positive,1,1,1.25696419523725,0.2,no
positive,1,1,0.7657243959134,0.175,no
objective,1,1,0.927524894935943,-0.4,no
positive,1,1,1.09262600177811,0.13636363636363635,no
positive,2,2,1.7136528062191,0.30000000000000004,no
neutral,0,0,0.0,0.0,yes
positive,0,0,0.128867069018432,0.4,no
neutral,2,2,0.0,-0.08333333333333333,no
positive,1,1,0.0,0.0,no
negative,0,0,3.389191285959678,-0.03333333333333333,no
objective,0,0,0.715520776338344,0.06666666666666667,no
positive,1,1,1.44519921674032,0.8,yes
positive,1,1,0.0,0.4,no
positive,1,1,1.25810250562971,0.0,no
neutral,0,0,0.0,0.0,no
negative,1,1,-0.19876192107916563,-0.2380952380952381,no
