@relation opinion
@attribute category {positive,negative,neutral,objective}
@attribute neg_score real
@attribute neu_score real
@attribute pos_score real
@attribute compund_score real
@data
negative,0.34,0.66,0.0,-0.687
neutral,0.0,1.0,0.0,0.0
positive,0.058,0.692,0.25,0.7184
objective,0.0,0.812,0.188,0.5719
negative,0.0,0.796,0.204,0.6808
objective,0.0,0.882,0.118,0.34
positive,0.333,0.667,0.0,-0.8402
objective,0.177,0.823,0.0,-0.6249
neutral,0.0,0.588,0.412,0.6369
positive,0.0,1.0,0.0,0.0
objective,0.0,0.787,0.213,0.5972
positive,0.224,0.682,0.094,-0.6135
negative,0.0,0.941,0.059,0.0516
negative,0.075,0.925,0.0,-0.2183
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.857,0.143,0.4574
positive,0.0,0.676,0.324,0.5204
positive,0.0,0.684,0.316,0.6743
positive,0.0,0.764,0.236,0.6145
negative,0.171,0.829,0.0,-0.4019
negative,0.0,1.0,0.0,0.0
positive,0.0,0.933,0.067,0.0772
positive,0.0,0.667,0.333,0.6114
neutral,0.0,0.877,0.123,0.4738
positive,0.0,1.0,0.0,0.0
positive,0.0,0.878,0.122,0.4926
neutral,0.11,0.772,0.118,0.0516
positive,0.0,0.798,0.202,0.5093
negative,0.1,0.773,0.127,0.1531
positive,0.0,0.893,0.107,0.2023
positive,0.098,0.705,0.198,0.5719
objective,0.08,0.59,0.33,0.8176
neutral,0.114,0.796,0.09,-0.128
positive,0.0,0.817,0.183,0.6696
negative,0.0,1.0,0.0,0.0
neutral,0.291,0.709,0.0,-0.7506
positive,0.0,0.753,0.247,0.5574
positive,0.0,0.704,0.296,0.7096
objective,0.0,0.897,0.103,0.34
positive,0.162,0.838,0.0,-0.4767
positive,0.074,0.738,0.189,0.5411
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.84,0.16,0.5859
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.78,0.22,0.7767
negative,0.465,0.535,0.0,-0.8271
objective,0.0,0.939,0.061,0.0772
positive,0.0,0.648,0.352,0.8684
positive,0.0,0.599,0.401,0.7213
positive,0.0,1.0,0.0,0.0
neutral,0.0,0.866,0.134,0.5255
negative,0.259,0.57,0.171,-0.34
negative,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
neutral,0.0,0.556,0.444,0.8555
neutral,0.0,1.0,0.0,0.0
neutral,0.0,0.809,0.191,0.5007
objective,0.078,0.922,0.0,-0.1531
positive,0.0,0.851,0.149,0.3134
negative,0.133,0.767,0.1,-0.2075
positive,0.313,0.544,0.143,-0.5423
neutral,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
negative,0.305,0.695,0.0,-0.7845
positive,0.0,0.744,0.256,0.7054
objective,0.0,1.0,0.0,0.0
objective,0.245,0.755,0.0,-0.3818
