@relation opinion
@attribute category {positive,negative,neutral,objective}
@attribute polarity real
@attribute compound real
@data
negative,-0.8,-0.687
neutral,0.2,0.0
positive,0.1759259259259259,0.7184
objective,0.8,0.5719
negative,0.5,0.6808
objective,0.13333333333333333,0.34
positive,-0.4583333333333333,-0.8402
objective,0.0,-0.6249
neutral,1.0,0.6369
positive,0.0,0.0
objective,0.3666666666666667,0.5972
positive,-0.26666666666666666,-0.6135
negative,-0.05,0.0516
negative,-0.2916666666666667,-0.2183
neutral,0.0,0.0
positive,0.0,0.4574
positive,0.0,0.5204
positive,0.056249999999999994,0.6743
positive,-0.2,0.6145
negative,-0.5,-0.4019
negative,0.0,0.0
positive,0.13636363636363635,0.0772
positive,0.4,0.6114
neutral,0.0,0.4738
positive,0.0,0.0
positive,0.35,0.4926
neutral,0.0,0.0516
positive,0.0,0.5093
negative,0.15,0.1531
positive,0.5,0.2023
positive,0.3166666666666667,0.5719
objective,0.26666666666666666,0.8176
neutral,0.0,-0.128
positive,0.5,0.6696
negative,0.0,0.0
neutral,0.1,-0.7506
positive,0.2,0.5574
positive,0.175,0.7096
objective,-0.4,0.34
positive,0.13636363636363635,-0.4767
positive,0.30000000000000004,0.5411
neutral,0.0,0.0
positive,0.4,0.5859
neutral,-0.08333333333333333,0.0
positive,0.0,0.7767
negative,-0.03333333333333333,-0.8271
objective,0.06666666666666667,0.0772
positive,0.8,0.8684
positive,0.4,0.7213
positive,0.0,0.0
neutral,0.0,0.5255
negative,-0.2380952380952381,-0.34
negative,0.0,0.0
neutral,0.0,0.0
neutral,0.375,0.8555
neutral,-0.125,0.0
neutral,0.09545454545454546,0.5007
objective,0.0,-0.1531
positive,0.0,0.3134
negative,-0.8000000000000002,-0.2075
positive,0.0,-0.5423
neutral,0.0,0.0
neutral,0.13636363636363635,0.0
negative,0.175,-0.7845
positive,-0.022222222222222237,0.7054
objective,0.05,0.0
objective,0.0,-0.3818
positive,0.0,0.8475
positive,0.4,0.765
neutral,0.0,0.0
neutral,0.6,0.4939
positive,0.0,0.0
objective,0.2,0.6355
positive,-0.022222222222222216,0.1779
objective,-0.16606060606060608,0.0
objective,0.4,0.3612
objective,0.0,0.34
neutral,0.175,0.25
positive,0.0,-0.3885
positive,0.0,0.0
negative,0.125,0.5267
negative,0.0,-0.128
positive,0.12666666666666668,0.7783
positive,0.4666666666666666,0.8883
neutral,0.012500000000000004,-0.5223
positive,0.0,0.0
positive,1.0,0.8979
negative,0.2,0.7845
neutral,0.26666666666666666,0.7184
neutral,-0.3458333333333333,0.2732
positive,-0.3,0.7345
negative,-0.10185185185185186,-0.1027
neutral,0.375,0.2481
negative,-0.6,-0.0772
positive,0.6000000000000001,0.7891
positive,0.8,0.5719
positive,0.0,0.8955
neutral,-0.6999999999999998,-0.4836
negative,0.225,0.5514
