@relation opinion
@attribute sentence string
@attribute category {positive,negative,neutral,objective}
@data
' its not that I m a GSP fan, i just hate Nick Diaz. can t wait for february. ',negative
' I sat through this whole movie just for Harry and Ron at christmas. ohlawd ',neutral
' with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow. ',positive
' Why is "Happy Valentines Day" trending? It s on the 14th of February not 12th of June smh.. ',objective
' They may have a SuperBowl in Dallas, but Dallas ain t winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll ',negative
' #Livewire Nadal confirmed for Mexican Open in February: Rafael Nadal is set to play at the Me... http://bit.ly/WY4Vjy  #LiveWireAthletics ',objective
' Men get mad at each other, fight, and get over it. Women get mad, and will hold a grudge that lasts forever. ',positive
' #Iran US delisting MKO from global terrorists list in line with Iran campaign: Tehran, Oct 30, IRNA -- Secretary... http://bit.ly/XSTGtd  ',objective
' The greatest ballers of all time http://instagr.am/p/RJhjSmHIlo/  ',neutral
' GM nvr4get Stevens,Smith,Doherty,Woods #Benghazi @ljmljm55 @dj4jg @paverlayer @fsbull @revkahJC @dickstrash @borderfox116 @swedenG ',positive
' Expect light-moderate rains over E. Visayas; Cebu, Bohol, Samar & Leyte have 30-70% chance of rains tonight! Expect fair weather tomorrow!:) ',objective
' One ticket left for the @49ers game tomorrow! Don t miss the rematch of the NFC Championship game against the NY Giants! Hit me up! ',positive
' My Saturday night has consisted of me watching The Grey with my puppy while my parents throw a rager #whaa #liamneesonisbosstho ',negative
' Why is it so hard to find the @TVGuideMagazine these days? Went to 3 stores for the Castle cover issue. NONE. Will search again tomorrow... ',negative
' @iSWAGx22 there is 2 games the hornets or the heat ',neutral
' Never start working on your dreams and goals tomorrow......tomorrow never comes....if it means anything to U, ACT NOW! #getafterit ',positive
' Who s watching #rhom ?? It s on now :) ',positive
' Looks like Andy the Android may have had a little too much fun yesterday. http://instagr.am/p/Rfzo6FInsj/  ',positive
' YES we all know INDIO vs CV is tomorrow the BELL GAME. Its enough.!! ',positive
' @MelmurMel @PBandJenelley_1 @vl_delp_ham_ Jenelle lies,1st she said she was alone &the hosp.now she s saying how weird it was for Keiffer s ',negative
' It s a rumor goin around about how to vote, ima look into it and get back to y all ',negative
' @tantrak I m going to Hong Kong during that time and mamA is on Nov 30. I want to see them live ',positive
' Happy 20th Mr. President! Nick J forever off the chain. ',positive
' C mon Avila! You just got tagged out by a guy who looks like the kid Bill Murray was researching in The Royal Tenenbaums! #Tigers ',neutral
' @lovemccurdyjenn It is!♥ ',positive
' Good morning Thursday. "Life is fragile. We re not guaranteed a tomorrow so give it everything you ve got." - Tim Cook [Do it for Jobs!] ',positive
' #Broncos Peyton Manning named AFC Offensive Player of the month. It s his 5th such honor, second to Tom Brady s 6, tied w/ TD. ',neutral
' @jackseymour11 I may have an Android phone by the time I get back to school! :) ',positive
' Homegrown talent missing on Signing Day: Throughout most of the day on Wednesday, the video scoreboard ... http://bit.ly/ztNRG0  #Raleigh ',negative
' taylor swift is coming with ed sheeran june 29th? most perf news i ve heard all night. ',positive
' The great Noel Gallagher is about to hit the stage in St. Paul. Plenty of room here so we re 4th row center. Plenty of room. Pretty fired up ',positive
' I hope we do get promoted & don t tail off like last season. Just to piss the southern media off. Hello & welcome to the #boro. Our shithole ',objective
