,NEAR BAD,NEAR GOOD,TOTAL HITS,GOOD,BAD,SO,LOG SO
"""true",323200,1039150,22055700,62617300,38901700,1.99747399007286,0.998176717352395
able,321500,1373000,30000000,62617300,38901700,2.6531622111031,1.40771288287908
above-average,9300,63500,411000,62617300,38901700,4.2419448684086,2.08472587061143
abrasive,2000,10300,439000,62617300,38901700,3.19949526728236,1.67784433235579
absent,22200,34700,2162000,62617300,38901700,0.971070460725077,-0.042352113711915
absolute,61200,117800,4672000,62617300,38901700,1.19582632935422,0.258007881197739
abstract,36300,76250,7319000,62617300,38901700,1.30499084827238,0.38403968940179
absurd,9500,12500,574000,62617300,38901700,0.817448969668463,-0.290799423608931
acceptable,53300,186800,5709000,62617300,38901700,2.17732824251205,1.12255891701042
accidental,8700,16400,1245000,62617300,38901700,1.17111309861468,0.227880408829285
accurate,49800,279700,9060000,62617300,38901700,3.4892924172764,1.80293450646804
acidic,6300,9150,332000,62617300,38901700,0.902307957948332,-0.148308185155944
acoustic,9900,60400,1816885,62617300,38901700,3.79032095996577,1.9223200193054
acrostic,75,500,21000,62617300,38901700,4.14174144632021,2.05023749422614
action,372000,892400,27827000,62617300,38901700,1.49035889786135,0.575659792308677
active,78200,375900,16794986,62617300,38901700,2.98634388044457,1.57838030279559
actual,88800,233700,11346000,62617300,38901700,1.63500840541391,0.70929805249265
acute,24500,36500,2312457,62617300,38901700,0.925552425249109,-0.111613385175261
adaptable,1600,16100,4905999,62617300,38901700,6.25144099553957,2.64418877817455
additional,110400,403500,39437592,62617300,38901700,2.27064221955191,1.1831004014469
addressable,242,865,99000,62617300,38901700,2.22062377132251,1.15096498530942
adequate,48300,161500,4135000,62617300,38901700,2.07730199869787,1.05471097080544
adjacent,13400,59600,2958000,62617300,38901700,2.76322153209722,1.46635123006432
adjustable,40100,70500,3082000,62617300,38901700,1.09224228914804,0.127292920891166
adoptive,1500,5200,250000,62617300,38901700,2.15370555208651,1.1068210225925
adorable,4700,19400,677000,62617300,38901700,2.56435481038124,1.35859589056942
adventurous,2200,15000,523000,62617300,38901700,4.23587193373658,2.08265897191851
aerobic,9200,20640,557000,62617300,38901700,1.39378603454428,0.479009104538809
aerodynamic,1100,5200,185000,62617300,38901700,2.9368712073907,1.55427999956373
affluent,14500,6970,374000,62617300,38901700,0.298633840146744,-1.74355043897394
affordable,27700,213000,6352000,62617300,38901700,4.77720719169425,2.25616744912394
aflame,255,410,43000,62617300,38901700,0.998890584112522,-0.00160143729348183
afraid,107400,138600,4128000,62617300,38901700,0.801739335837963,-0.318794835788269
aggressive,32900,74500,2216000,62617300,38901700,1.40680731497351,0.492424741674212
air-conditioned,1200,20700,951000,62617300,38901700,10.7167559923536,3.4217963568381
airy,1000,10700,355000,62617300,38901700,6.64749502134394,2.73281079157371
alcoholic,8800,16600,899000,62617300,38901700,1.17192456833379,0.228879712769558
alive,48900,158500,5813000,62617300,38901700,2.01369944552685,1.00984837013447
all-around,20700,127000,1940000,62617300,38901700,3.81160263538165,1.93039772422013
all-clear,800,2320,155000,62617300,38901700,1.80165752914929,0.84932480030014
all-out,8200,19500,823000,62617300,38901700,1.47738947932764,0.563050209191457
all-purpose,804,14600,447000,62617300,38901700,11.2816091634842,3.49590095753574
all-star,4300,13600,983000,62617300,38901700,1.96491919778912,0.974469986608172
all-weather,1000,8300,256000,62617300,38901700,5.15646810066866,2.36638323651949
all-you-can-eat,500,3300,110000,62617300,38901700,4.10032403185701,2.03573792453102
alternate,16200,45230,3573000,62617300,38901700,1.73454597793577,0.794558082919354
altruistic,1500,4700,70000,62617300,38901700,1.9466184797705,0.960970156129049
amazing,62700,218000,7476000,62617300,38901700,2.16004697439667,1.11106268692218
ample,6900,48800,1308000,62617300,38901700,4.39384744740057,2.13548478084465
anal,243600,260950,8899000,62617300,38901700,0.66550950148846,-0.587468831225884
ancient,32600,99420,5755000,62617300,38901700,1.89465614076605,0.921936038884098
anemic,1700,1950,75000,62617300,38901700,0.71262316061686,-0.488788722328161
angry,69000,68600,2588000,62617300,38901700,0.617659702646884,-0.695115885432789
angular,3800,11300,509000,62617300,38901700,1.84743467145073,0.885523349031532
annoying,34500,191400,1583000,62617300,38901700,3.44664918619865,1.78519446288042
annual,68400,213100,18661000,62617300,38901700,1.93553750484833,0.952734262956736
anti-glare,82,1100,72000,62617300,38901700,8.33399193466872,3.05900770385387
anxious,16100,32100,1236000,62617300,38901700,1.23866366857341,0.308784509067616
apologetic,1900,3260,236000,62617300,38901700,1.06595345644768,0.0921444459600597
apparent,38300,70700,3719000,62617300,38901700,1.14681900883096,0.197637722944372
appealing,10200,40000,1296000,62617300,38901700,2.43631849783542,1.28470274786316
applicable,22500,74500,7553000,62617300,38901700,2.05706491833904,1.04058732419242
appreciative,1700,15600,327000,62617300,38901700,5.70098528493488,2.51121127767184
appropriate,131400,422900,19537000,62617300,38901700,1.99947769137993,0.999623184766402
archetypal,1000,2400,106000,62617300,38901700,1.49102692067528,0.576306305893724
architectural,5100,34400,20000,62617300,38901700,4.19046781627692,2.06711131279053
arrogant,12400,15800,491000,62617300,38901700,0.791607034498299,-0.337143662149842
artificial,15600,700,2831000,62617300,38901700,0.0278771058886937,-5.16477539674471
artistic,13900,53400,2580000,62617300,38901700,2.38671575431834,1.25502675902398
asian,190600,253600,14409000,62617300,38901700,0.826609887817528,-0.274721473710605
as-is,22600,102800,3988000,62617300,38901700,2.8259138540822,1.49871748683862
assertive,2300,11400,206637,62617300,38901700,3.07929472748155,1.62259995816766
assy,600,2100,163000,62617300,38901700,2.17441425931811,1.12062682211753
astute,1500,7800,208000,62617300,38901700,3.23055832812977,1.69178352331366
atrocious,3600,3200,97000,62617300,38901700,0.552232192842695,-0.856653101382382
attentive,4300,30000,621000,62617300,38901700,4.33438058335836,2.11582583585371
attractive,27700,232400,4387000,62617300,38901700,5.21231432558565,2.38192408741527
audio,78200,283600,20066000,62617300,38901700,2.25306497604171,1.17188891999209
automatic,29000,151300,7613000,62617300,38901700,3.24126972842197,1.69655908226173
automotive,26900,47470,8281000,62617300,38901700,1.09632973860681,0.132681777045376
auxiliary,5300,15950,1309000,62617300,38901700,1.86964460572096,0.9027640592616
available,262000,1739100,91279000,62617300,38901700,4.12379916944398,2.04397407463079
average,383100,903400,17924000,62617300,38901700,1.46501535732407,0.550915788073566
averaged-sized,1,15,31000,62617300,38901700,9.31891825422048,3.22016249566845
average-sized,123,875,207000,62617300,38901700,4.41954117747584,2.14389660144038
avid,3500,19700,706000,62617300,38901700,3.49681313539321,1.80604070257134
awake,19300,56000,1272000,62617300,38901700,1.80262322016009,0.850097879736816
award-winning,3800,37200,3498000,62617300,38901700,6.08182033433336,2.60450319772438
aware,88700,196500,8948000,62617300,38901700,1.37630021567405,0.460795202904835
awesome,37500,193200,3894000,62617300,38901700,3.20073778971626,1.67840449351246
awful,62500,66500,1376000,62617300,38901700,0.661021934832706,-0.597229949100967
awkward,13600,21800,784000,62617300,38901700,0.995845185990228,-0.00600661641348305
bad,22923300,3234970,19119000,62617300,38901700,0.0876733017929519,-3.51171860862072
bake,3000,18200,1029000,62617300,38901700,3.76898471615139,1.91417594465011
baked-on,100,1220,39000,62617300,38901700,7.57938684676599,2.92208114273545
balanced,26200,151700,3109000,62617300,38901700,3.59714987064948,1.84685426876951
balky,100,210,9800,62617300,38901700,1.30464855559087,0.383661227951328
bang-up,200,1000,25000,62617300,38901700,3.10630608474016,1.63519999494729
bare,43400,62800,4230000,62617300,38901700,0.898967843878719,-0.153658583492922
basic,149200,526800,23015000,62617300,38901700,2.19356842552428,1.13327971006121
bass-heavy,100,460,10000,62617300,38901700,2.85780159796095,1.51490576122958
b-boy,400,620,31000,62617300,38901700,0.962954886269449,-0.0544598844405572
beat-heavy,15,60,2300,62617300,38901700,2.48504486779213,1.31327190005993
beautiful,121800,821400,18782000,62617300,38901700,4.18968771429486,2.06684271413265
beefy,4400,4300,128000,62617300,38901700,0.607141643835577,-0.719894963875269
beige,2100,13300,846000,62617300,38901700,3.9346543740042,1.97623691278236
believable,3600,14700,269000,62617300,38901700,2.53681663587113,1.34301924345398
beloved,17700,36400,1606000,62617300,38901700,1.27762193767844,0.353460990175629
benevolent,3700,11960,270000,62617300,38901700,2.00818490667526,1.00589211374172
best-handling,50,250,6900,62617300,38901700,3.10630608474016,1.63519999494729
bestselling,900,2400,276000,62617300,38901700,1.65669657852809,0.728309399338774
better-feeling,124,590,15500,62617300,38901700,2.95600095160757,1.56364673392226
biblical,19300,55600,1495000,62617300,38901700,1.78974734001609,0.839755935515357
big,830500,1461700,32102500,62617300,38901700,1.09343470296561,0.128867069018432
big-breasted,4900,7600,275000,62617300,38901700,0.963588826286743,-0.0535104306116928
